"m1est"	"m1se"	"m2est"	"m2se"
-30.9722298757998	35.6934027152351	-30.9722298757868	36.0131353795164
20.8534704139414	63.040029542143	20.8534704139204	63.1619084265392
1.16897098108625	53.6886581138568	1.16897098113803	54.5073715394921
12.8000075369356	37.7586282857568	12.8000075369133	37.747074958529
35.1009168207965	32.3659582845722	35.1009168207983	32.3044541516841
5.61256922729794	44.5663644705013	5.6125692273048	44.5411262158658
-9.3834556801531	49.1623140033694	-9.38345568014518	49.1951013811218
48.8777073205408	36.4292194255087	48.8777073205446	36.426909313103
81.3233343119268	32.7082424014191	81.3233343119319	36.8862249279448
11.3056810397867	42.69720828996	11.3056810397606	42.6969894265905
