"ll.m1"	"ll.m2"	"ll.m1.null"	"ll.m2.null"
-394.904902769011	-396.602339296954	-394.971090141307	-396.66383811225
-396.518715216698	-397.658602114971	-396.854402824679	-397.964154873446
-399.369045619764	-399.775982560011	-400.824084003968	-401.577177074733
-409.953691601133	-409.989214512995	-409.957112673608	-409.99275773884
-407.950716523442	-409.098246878316	-409.822536242216	-411.086565772817
-396.003196885835	-396.003200525735	-396.631002568101	-396.639903657143
-410.399511739582	-411.332586139476	-410.407716103777	-411.346624189498
-409.218793983846	-409.229641546985	-409.436904974822	-409.454304716727
-403.176008116748	-403.194113826722	-403.211349229868	-403.227360819858
-414.068388177178	-413.740715021284	-414.146848183519	-413.826933871212
-406.420664508926	-407.494126745046	-406.433933754677	-407.50849662113
-381.213314375928	-382.751124107253	-381.957236950472	-383.80147246927
-401.953536771699	-403.171308583039	-403.132260345576	-404.650065507446
-408.901206520641	-409.147844802477	-409.022163227018	-409.277008974168
-405.201328759408	-405.569201766549	-407.062807043417	-407.827109595136
-398.00953669343	-402.485908131972	-398.591696652317	-403.205551256554
-410.032151753477	-410.351271875416	-410.100379873499	-410.43912107091
-401.326598039432	-401.37889335199	-402.070301393586	-402.114295190271
-398.916358606034	-399.491408874773	-401.371353046357	-402.382095977762
-401.015118142548	-402.012397913372	-401.015952276325	-402.012397912878
-400.04887721846	-400.233071692315	-400.076516403847	-400.26671859706
-408.722240581099	-409.44406321833	-410.489367746832	-411.290252056215
-399.605546046343	-399.617542144852	-401.1099489656	-401.124644055163
-403.919350082591	-405.548197927851	-404.501593452449	-406.264055867218
-405.943004946346	-406.279113740782	-406.93894810338	-407.320356610921
-405.811421844105	-407.003075702847	-405.824967567337	-407.035383028722
-414.582146651696	-412.144448941371	-411.880830062115	-412.316135655647
-393.673802805629	-394.792676579594	-394.071288956797	-395.34745961798
-402.84447639058	-402.870182322444	-403.531865928292	-403.590391125457
-387.377896398382	-387.379948753075	-389.006118664422	-389.107555910909
-402.198538360742	-403.907639742679	-402.242748225939	-403.9992933221
-406.230443186696	-407.811504843949	-406.564507055291	-408.327345619343
-412.903869224987	-412.58727469503	-412.938102239927	-412.61838683523
-406.328902682936	-407.500463775491	-406.448408902945	-407.631074038104
-407.877658424814	-409.908419208125	-407.982406994044	-410.081877675181
-407.756507176916	-408.335919410003	-407.833665719395	-408.425354811478
-405.854587625556	-406.117792797143	-406.193209073025	-406.482363058543
-407.963290212931	-407.407258323024	-408.133304038374	-407.578613497285
-409.876053677644	-409.876202849371	-410.654384391809	-410.675451945707
-403.899470887133	-404.036854166821	-406.046667649775	-406.141174261734
-410.829703485528	-411.854928833336	-410.874449064893	-411.910632397181
-399.23711607177	-401.141041638853	-399.445626091604	-401.323201001273
-406.99486294903	-407.027664683084	-409.343935576917	-409.438233203522
-412.678368555961	-413.852203783765	-412.709612937367	-413.883115246036
-410.067660169774	-410.134695908156	-410.070895335483	-410.138245913884
-408.239403206088	-409.422933974655	-408.838579183793	-410.116780205958
-414.701625095838	-412.498948804232	-414.711278825595	-412.512868050262
-401.793146710893	-404.965655115454	-401.91980578034	-405.322476501028
-399.316275062947	-399.406208406216	-399.319931525293	-399.409981743798
-412.436767809466	-412.523553464835	-412.496038250192	-412.578290432664
-402.217572812615	-402.345437187817	-402.502853548906	-402.647296548954
-409.64133210782	-409.722501543185	-411.301959256407	-411.420933340652
-406.757742633731	-406.986793433716	-408.13666282453	-408.431612587806
-403.326782084246	-404.007866269136	-403.463934986789	-404.188820146225
-401.25322293559	-403.091621557207	-401.695640823492	-403.626619392587
-409.975688722705	-410.122215310429	-410.146991692384	-410.295351612779
-405.873946030058	-406.523342314382	-406.854222912336	-406.696120793746
-411.597507162863	-410.428396815099	-411.599595119838	-410.431907158717
-412.927400700926	-412.988289298029	-412.960022851576	-413.019377676708
-400.945171168163	-401.228827382745	-401.389715347519	-401.765794443819
-396.681958202497	-397.431336080157	-398.649278741195	-400.342373048386
-405.442905826414	-408.043844133598	-406.084104682607	-408.645391682891
-404.255475328882	-404.540634802387	-404.302576012482	-404.573004321944
-395.78708719355	-395.793992020834	-395.844847457413	-395.855365333191
-410.569120228882	-411.061849988418	-411.371952515663	-411.960727278529
-413.906067306801	-413.473066127664	-413.908133667959	-413.476534260214
-402.103472410791	-402.29082608373	-402.144069183383	-402.349720258582
-409.144140388355	-409.806017707843	-409.150479975049	-409.809542948692
-412.074818997239	-412.270133631682	-412.07811560426	-412.273619190041
-403.166810286484	-405.475788339461	-403.204334490734	-405.567147817241
-412.021914297369	-412.774287180283	-412.025075286215	-412.777775660486
-402.957516031635	-403.658673324346	-403.330033065161	-404.104933652097
-405.098808976542	-405.261256034892	-405.098812710652	-405.261256035436
-397.555582049785	-397.624932421727	-397.825454840475	-397.929408900766
-404.704187863541	-404.711702940347	-404.762399704971	-404.770512029741
-412.251582251067	-412.535073007449	-412.280011073113	-412.590694135239
-406.589093181768	-407.768434711323	-406.622533575004	-407.826174631431
-411.556712414941	-411.828072041804	-411.908281495657	-412.176246399946
-398.095619241575	-399.052080458265	-398.358384442638	-399.427279593929
-400.252899970544	-401.517492690805	-400.354352635846	-401.650934361676
-408.818389477333	-409.394527501794	-408.99342876033	-409.618623410111
-401.367858741275	-401.587118428897	-401.61343802324	-401.885982680808
-405.017624649915	-407.265061433649	-405.546254643121	-408.073403538282
-404.245355407351	-404.263274273236	-404.550387058863	-404.5590235382
-405.413102958035	-406.374660513836	-405.890238982373	-406.896255134445
-394.650510051582	-398.98103342105	-394.742670528359	-399.117472183311
-412.159403164253	-412.190999639888	-412.320534313917	-412.357987088451
-410.792246936073	-412.657522864431	-410.987846554703	-412.935611616472
-407.171817506071	-407.681290458305	-407.217614800587	-407.739062134468
-404.095049699541	-404.638605199821	-404.105896924074	-404.653004340899
-407.719364962804	-407.936175956667	-407.806535506522	-408.025727373532
-408.925642884327	-409.738445900732	-408.944484833322	-409.770240838501
-396.123958075057	-396.42893876608	-396.629814391668	-396.983643381015
-408.51425034648	-408.540200990351	-408.647465856931	-408.668724013124
-404.398880296639	-405.312792395554	-405.432571823579	-406.496850822507
-407.165792963412	-407.817344550751	-407.170111400718	-407.82095051426
-405.959342484875	-407.668536600185	-406.818719967275	-408.582521038386
-408.042007662273	-408.455716342231	-410.053704864193	-411.036222162486
-405.352907000209	-405.405190452574	-406.487486896302	-406.577368600912
-414.263957894346	-414.781829544525	-414.288927304779	-414.812496579623
-410.395612787323	-410.478010925783	-410.625319286076	-410.704052273865
-404.33562598074	-404.668326000874	-404.967357051587	-405.48404067696
-401.451745008807	-404.560698796713	-402.774397957028	-406.978688560509
-413.38959199207	-411.926946175198	-413.805121585575	-412.427067277785
-398.288861390192	-399.024273986869	-398.717193694839	-399.565372980699
-411.23076018528	-411.663398341907	-412.703828959455	-413.191344202326
-406.504199321578	-407.04197198284	-406.991642603324	-407.643524186782
-403.90233843437	-403.908633714801	-404.350741295268	-404.352968539165
-397.414407021228	-397.837701679604	-397.429726777402	-397.853014926296
-405.010482767666	-405.010526154818	-405.305201083163	-405.305828063412
-404.347413287829	-404.392306984264	-404.64969652346	-404.689301820185
-411.252363717049	-411.523426254876	-411.7308491577	-412.028284087413
-405.439385352433	-405.700657257589	-405.448779931812	-405.704255178385
-402.184494254918	-402.480571009801	-402.252628451007	-402.572990593253
-412.725986902862	-412.954247092766	-413.034193859648	-413.297938625667
-413.233571480213	-412.004714363588	-413.897358657234	-413.994492948188
-404.120267268668	-404.156842710957	-404.13496443708	-404.171660789161
-396.096019244629	-400.410695382738	-396.620209180712	-401.494016914103
-410.72929027117	-411.05138596567	-410.984571078493	-411.335440386098
-403.419516730654	-403.425768581261	-403.509257902121	-403.518560526102
-399.346975329785	-399.387617271704	-399.377925742584	-399.421570698847
-405.042676803229	-405.475840968781	-405.186452495418	-405.655773320342
-407.397228749626	-407.681742395141	-407.904979913852	-408.200945794295
-405.627701586939	-405.80799940863	-405.942393243842	-406.170356987309
-407.655881542049	-408.429406404683	-407.722652242824	-408.486624537344
-400.681445302715	-401.283882056462	-401.813822898052	-402.342965272959
-407.700082577981	-408.876057604057	-407.798048238671	-408.964442164012
-406.860516003349	-407.149542015816	-407.840759339273	-408.314837661161
-408.658057849585	-409.283011202091	-409.367186058377	-410.188543756079
-406.986719647619	-407.896450158672	-409.085258793347	-410.492260900614
-414.061994662406	-414.216735143045	-414.99517610488	-415.196549437635
-402.864992495	-402.892001393076	-402.875353378673	-402.906603653732
-401.675943328021	-402.628078820287	-402.100252709323	-403.250443151111
-409.075016895417	-409.281344912752	-411.210632935951	-411.481072377124
-398.471508660613	-400.607922222459	-400.32386830579	-403.510247476778
-401.26529154373	-401.62764702843	-401.283603305512	-401.6426589437
-409.584093564742	-409.676085789457	-409.798676899598	-409.903672723531
-399.378474813979	-400.303203088315	-399.473303317007	-400.362246227963
-394.961742618196	-396.147893733616	-395.067243577987	-396.243031333673
-414.310390639431	-414.319052726831	-414.365030448807	-414.373828799617
-407.556230277265	-407.744735469117	-408.303049039703	-408.547873949208
-402.740414832317	-403.253913252795	-403.28640914207	-403.784603500104
-401.99086437772	-402.924979484967	-401.995376702633	-402.939692501625
-408.164535968967	-408.165299006882	-408.196540671904	-408.197659845519
-391.38568498499	-391.433161160849	-391.475044089966	-391.530995838658
-406.783609130221	-406.993809392167	-406.912941294245	-407.123371234952
-406.940826014309	-407.426837812635	-408.155286241666	-409.006667366175
-411.462958663535	-411.602880454993	-411.59054216397	-411.729643008655
-401.639719343709	-401.721321195347	-402.481406952905	-402.552886002215
-399.365298048287	-401.326746483624	-400.192057620899	-402.659921685198
-406.27613744283	-406.526418149956	-406.698011201666	-406.962848921266
-397.854937594778	-398.918409806783	-398.92080057225	-400.137101425293
-415.162065967802	-414.080602844646	-415.208752146416	-414.135567127771
-408.438915320408	-409.021814386119	-409.085530478574	-409.720723523443
-408.592844076399	-408.678784126796	-408.923973505704	-409.033052744541
-409.022887060645	-409.030711370948	-409.026659172988	-409.034264311663
-396.025440570124	-399.688695458184	-396.084526475288	-399.749444383767
-407.932567059394	-407.952328966234	-407.991286357502	-408.010197709788
-410.070373211872	-410.257677193009	-410.15457178554	-410.346146913301
-396.617268576519	-400.282936664372	-396.623047467863	-400.282936663651
-410.015193400725	-410.222514266828	-410.073731545518	-410.279068825441
-404.677345235306	-405.106426783963	-404.681206441971	-405.110113240437
-401.176982888378	-403.991477801375	-401.588201265601	-404.52128065948
-410.222268126158	-408.113146817915	-411.037877808271	-409.028345578864
-406.537660934821	-406.965500115419	-406.823397908212	-407.260067740173
-408.318162345825	-408.793662388294	-408.881824176664	-409.393998642089
-402.83587294366	-403.213673496302	-402.846902474868	-403.228476898296
-411.500053912859	-412.250569757386	-411.501458702799	-412.254043877182
-396.611460932743	-396.730954876294	-397.740516793869	-397.967378857374
-408.266532364857	-408.266947023817	-408.324128254115	-408.324578360649
-399.777019450514	-400.410310898452	-399.808894473777	-400.425254665426
-402.598087573915	-402.92291771639	-403.368455375441	-403.643228979044
-404.280670903453	-404.924638377827	-404.340854464121	-404.982956719312
-403.383406568766	-405.992631640788	-404.277779125033	-407.417194545619
-394.00937555631	-394.04890460546	-394.042504468194	-394.083607687758
-407.753421995225	-408.27219806394	-407.753448171889	-408.272198063747
-412.129479549075	-412.130234581394	-414.956015116801	-412.812655262981
-408.265061951238	-408.636273041785	-408.287085381964	-408.650524463854
-403.325501631192	-403.325891033457	-403.35848807048	-403.359227067312
-412.912399756932	-414.005553958003	-412.994557017872	-414.091243632855
-412.041830897956	-412.146074044559	-412.543633983999	-412.648912679318
-405.001541058082	-405.200342428266	-406.16216528878	-406.373657172928
-395.094847546346	-395.285758256112	-397.446683146858	-397.673623998406
-395.57176829294	-396.843015899071	-396.323683960767	-397.817281724372
-408.166789630062	-409.309397131905	-408.198014397266	-409.323608370379
-406.125635016823	-406.161309155981	-407.442200817234	-407.454084324703
-397.596451404436	-397.882380453995	-397.980115389058	-398.263812355627
-396.99394588228	-397.208902609645	-397.227429708536	-397.392401944651
-397.802977072809	-398.020957221029	-398.027889310617	-398.262729132834
-410.608301842399	-411.203676360043	-411.261142513595	-411.993318435063
-409.621390389381	-410.612052426866	-409.641188465434	-410.643729767471
-407.39450506239	-408.037050629053	-407.395013351321	-408.05111876257
-403.388507418195	-403.389258472892	-404.33559043423	-404.335610931558
-400.901795918943	-401.215628543867	-402.191562184749	-402.555355310839
-406.133663009989	-406.147595955934	-408.745835175871	-408.755792821844
-405.538586715481	-405.542528607938	-405.834035211955	-405.838260478965
-399.901095596895	-400.987128247636	-400.277765100331	-401.359377594035
-403.313192999947	-403.321467768773	-403.329738475096	-403.336259485027
-408.523285969291	-408.845660043361	-408.920377608538	-409.27573207776
-407.971088147369	-408.446429840892	-407.975159180094	-408.450024075436
-411.412591060412	-413.29535849634	-411.54406071796	-413.464426277364
-404.206707141283	-405.891447838524	-405.347594572868	-407.49224913393
-394.780542605905	-394.949417359174	-395.473308042078	-395.596244435668
-405.975492859822	-406.29852809266	-407.387347995866	-408.028512500261
-403.385747351839	-403.62756769274	-403.387681089241	-403.631236161609
-407.860063092331	-407.967863383374	-407.863641767274	-407.971465671587
-404.267976950659	-404.314602943133	-404.88648564881	-404.931269429116
-404.252693575381	-405.510912312287	-404.388096188281	-405.643101576197
-408.846029344444	-409.082312106506	-411.612489337923	-412.036406967848
