"m1est"	"m1se"	"m2est"	"m2se"
0.122999811150398	0.185443830464295	0.110701780134055	0.166397166877408
-0.200442228582352	0.164492239546061	-0.204198028205809	0.165187932911425
0.153417690031218	0.178764169788712	0.154127615409649	0.167469549372133
-0.242423163940164	0.177850654408734	-0.254737642110947	0.168463590937684
-0.102073260968068	0.195113545016251	-0.108700063029944	0.175709267250935
-0.0809377256237582	0.177995472206459	-0.0870170445253371	0.170173677961903
-0.161711591424773	0.201100821962911	-0.15572706184856	0.168306483297506
0.371592835639444	0.179404386497263	0.368179093548859	0.175411142625483
-0.0127366275110591	0.175089345661344	-0.0138469848327294	0.166338413169234
0.1385048237035	0.175897738597715	0.138208738183163	0.166323384442801
0.00450714940913501	0.201653213652987	4.72138906603859e-06	0.169949955247781
0.0834714827866799	0.170553230102346	0.0836389065926724	0.166966525635437
-0.102735814479752	0.172012268769109	-0.0988480356804851	0.168032875184385
0.234716714245169	0.171368735883915	0.234729934234007	0.171342518725065
-0.069043671999611	0.174371560070327	-0.0750191204917574	0.172927891913936
-0.126244160199186	0.16842916673565	-0.125978658131894	0.167341812791212
-0.076359335394423	0.175123784197835	-0.0809145680528654	0.164258926202305
0.114146020246166	0.191442161880982	0.100860252588358	0.169680860933977
0.232840961698313	0.176260946182462	0.229580943315968	0.169539217612801
-0.1293197153742	0.169363024244003	-0.128063159325124	0.168685355558758
0.217046625169423	0.182174745301275	0.203061069124418	0.170350160828582
-0.151138725196322	0.191178837324413	-0.14557536535112	0.17055676136008
0.0574569644240338	0.179374449261888	0.0431037992942313	0.169414741897267
0.0860605867943413	0.176935279808499	0.0863111167880329	0.169527320663478
-0.413852088738106	0.202373495559316	-0.395455886381176	0.168754812614489
-0.199238700584506	0.177942147027696	-0.20176538038171	0.169848787316994
-0.1108700087206	0.186791049830213	-0.119044383476377	0.172285826397589
-0.181511986145604	0.177595199802174	-0.17642466828587	0.171396116002115
0.061735905683324	0.19111054265557	0.0564309812173374	0.167921913676444
-0.0869670371978427	0.170770880468153	-0.087533801590048	0.170611002081749
0.0734245892271564	0.17064906810331	0.0728040352540061	0.170481026076052
-0.118924842806435	0.178873361836028	-0.104501728727615	0.17253685456768
-0.15622327468005	0.179279769232398	-0.151808211000929	0.166225479342578
0.0731455286428334	0.189361651895001	0.0694887015155144	0.166716894340799
0.0291588537842099	0.171596814149942	0.029335768947956	0.171072814083051
0.306210960923466	0.173629937764528	0.307080387803773	0.171290899099393
0.0845372459230462	0.189920563094204	0.119022011989633	0.172302366956935
0.0839080255232845	0.178399079826747	0.0914493017217186	0.174198425717131
-0.211107848183641	0.170188871946937	-0.2125313798048	0.168479640767536
0.168273192689683	0.167481649151689	0.167568007488595	0.167207472526575
-0.0585954375647485	0.17315888401646	-0.0550465656022606	0.165910360076481
0.422586574183686	0.166022706415942	0.422174749995144	0.165807791472822
0.0402284650440946	0.183056284789189	0.0434844611399814	0.170113835251446
0.174982923458818	0.194946932599946	0.160228797639132	0.170635859652513
0.187144202484681	0.173944340113475	0.18401235796158	0.168334300027392
-0.19086578105559	0.186542071235999	-0.201722672043675	0.169823040825668
-0.00437912903757242	0.174827825035162	2.84684359604827e-06	0.171650010184287
0.158264460476805	0.175461814928347	0.146312929535616	0.170981050199916
-0.281600872394116	0.164051967616568	-0.281591693489507	0.164051999684701
0.146448305485364	0.173794496539964	0.150990129665324	0.165773690020511
0.0450051574130868	0.179034500064304	0.0465171641102358	0.175527495944529
-0.00491231414287292	0.189200602337751	-0.0140676914593056	0.167709406813671
0.339898488954399	0.18469305138223	0.337979016113421	0.171806460926103
0.0855518049567274	0.196304998510149	0.0876520338157322	0.170765756090586
-0.166719560826383	0.173236067229537	-0.16638895777926	0.166620216391198
-0.114128079866645	0.198795051105981	-0.112954097102247	0.168039200229971
0.156917530854856	0.213799732902536	0.151191188146627	0.165890933876864
-0.0405692482848426	0.211464849609959	-0.0435016527133559	0.170156718706828
-0.176596873332258	0.176466976458226	-0.185936300799862	0.169187153961736
0.0468312988472182	0.199361659333728	0.0584891769743721	0.170832186499744
0.424858663893972	0.190459016688011	0.416261388375116	0.170128725835095
-0.0303333533900671	0.173094244399037	-0.0300106496434799	0.172875182688133
-0.144166818385817	0.20825087395059	-0.153895042666997	0.167335817359526
-0.0586143464501601	0.171495138959462	-0.0584366714592453	0.170762751352289
0.265631143906717	0.171948528380229	0.26543476022768	0.171849107224907
-0.21185460132513	0.207603794648307	-0.243704105821571	0.174421472957612
0.281410068437157	0.174993184539602	0.275490945048409	0.166304609825139
-0.0882018405506529	0.197083484284141	-0.0867983022543814	0.169988133882774
0.168193089911933	0.183590228560395	0.168737757480635	0.167770607877592
-0.117134935670861	0.171655220973038	-0.117890025084471	0.171497798940172
-0.10838536192154	0.176691223053206	-0.111509045601484	0.16698493843592
0.00257878749509736	0.172758260770036	3.04260435402076e-06	0.170266325660077
0.158017517576446	0.207574045408489	0.164557915695737	0.172773654419007
-0.0925976430919776	0.172189719405084	-0.099528570187416	0.168597503983291
-0.218343014787352	0.177045545192054	-0.225453456118798	0.173292441070141
